user_id,review_id,text,votes.cool,business_id,votes.funny,stars,date,type,votes.useful
PUFPaY9KxDAcGqfsorJp3Q,Ya85v4eqdd6k9Od8HbQjyA,"Mr Hoagie is an institution. Walking in, it does seem like a throwback to 30 years ago, old fashioned menu board, booths out of the 70s, and a large selection of food. Their speciality is the Italian Hoagie, and it is voted the best in the area year after year. I usually order the burger, while the patties are obviously cooked from frozen, all of the other ingredients are very fresh. Overall, its a good alternative to Subway, which is down the road.",0,5UmKMjUEUNdYWqANhGckJw,0,4,2012-08-01,review,0
Iu6AxdBYGR4A0wspR9BYHA,KPvLNJ21_4wbYNctrOwWdQ,"Excellent food. Superb customer service. I miss the mario machines they used to have, but it's still a great place steeped in tradition.",0,5UmKMjUEUNdYWqANhGckJw,0,5,2014-02-13,review,0
auESFwWvW42h6alXgFxAXQ,fFSoGV46Yxuwbr3fHNuZig,Yes this place is a little out dated and not opened on the weekend. But other than that the staff is always pleasant and fast to make your order. Which is always spot on fresh veggies on their hoggies and other food. They also have daily specials and ice cream which is really good. I had a banana split they piled the toppings on. They win pennysaver awards ever years i see why.,0,5UmKMjUEUNdYWqANhGckJw,1,5,2015-10-31,review,1
qiczib2fO_1VBG8IoCGvVg,pVMIt0a_QsKtuDfWVfSk2A,"PROS: Italian hoagie was delicious.  Friendly counter employee. The restaurant was clean and neat. 

CONS: The pizza was not good.  Pre-formed crust, NOT fresh dough.  The price of the failure of a pizza WAS NOT CHEAP EITHER.  

I guess the name says it all.  Get the hoagie, pass on the pizza.",0,5UmKMjUEUNdYWqANhGckJw,0,3,2015-12-26,review,0
qEE5EvV-f-s7yHC0Z4ydJQ,AEyiQ_Y44isJmNbMTyoMKQ,"First the only reason this place could possibly win best hoagie is because there's no competition. Two hoagies and a side of onion rings cost $25.74

So I'm thinking with the reader choice awards and $10 per 12"" hoagie these will be awesome. 

I was sadly mistaken. 

The only reason I didn't give one star is because is the bread & dressing is fairly decent. 

So on to the hoagies, the Italian is general run of the mill. Minimal meat and a ton of shredded lettuce. You get more meat at subway. Nothing really special & NOT worthy of the $10 price tag. 

Second, the steak hoagie, it is atrocious. 
No cheese?!?!? You have to add cheese for $1 so now the steak hoagie is $11. That has so little amounts of meat that I thought I was eating a lettuce & onion hoagie. I am thoroughly disappointed with this hoagie, possibly the worst value of a hoagie I've ever eaten. 
I'm not say eating at subway is any better, but for the huge price difference you are better off doing so. 
Check out pasquales down the road, better hoagie & price.",0,5UmKMjUEUNdYWqANhGckJw,0,2,2016-04-08,review,1
jBoH6qKGO7wdYyg_YjBcQA,V-bqYx62zpxfH2oFkzXPzw,"Normally, I do not do reviews of an establishment unless the rating is exceptionally great or exceptionally bad.  If I had not felt sucker punched and mugged after I left Mr. Hoagie, I would not be writing this bad review.  On my first and last trip there, I paid $24.59 for two whole hoagies.  

1) The Italian (ordered because the woman (she) working there told me it was their most popular hoagie) I ordered with lettuce and onions (no tomato, italian dressing which all come free with the hoagie).  I had to pay $1 to add cheese to the hoagie.  Because I was traveling and would not be eating the hoagie right away, I asked for the italian on the side.  She told me there was a charge for the dressing on the side.  I passed on that on principle.  Are you kidding me?  I just saved her money by declining the tomato.  I was not going to pay for the dressing on the side.  At this point, I am certain something is not right and this place appears to me to be in financial trouble.  That pales in comparison to what happened next.  I opened the hoagie and there were three microscopically thin slices of meat on this hoagie.  Ham, salami, and bologna.  Bologna!?!?!?!?    Who in the hell puts disgusting bologna on an Italian hoagie?  That disqualifies that hoagie as an Italian.  The red flags indicating this place is in financial trouble are blinding my view.  One area of this hoagie only had one slice of bologna, no ham and no salami.

2)  The Steak hoagie came with nothing on it but lettuce, tomato, onions, and dressing.  I ordered it without lettuce, tomato, onions, or dressing.  I asked for mayo on the side.  I had to pay for that so I declined.  Are you kidding me?  I just saved them money by passing on the lettuce, tomato, fresh onions, and dressing!  I paid $3 to add sautéed mushrooms, onions, and cheese.  Here we go again.  Canned mushrooms that were not even cooked through (were still cold) and onions that were still crunchy/undercooked.  News flash:  you need to serve fresh mushrooms that have been sautéed (canned mushrooms are another sign this place is in financial trouble).  I literally had to open the hoagie to find the steak because I could not taste or see it.  The hoagie was 50% mushrooms, 30%onions, 10% cheese and 10% steak.

I could have personally made 10 whole hoagies with substantial quality ingredients and toppings for the $24.59 I paid for these two whole hoagies.  I intentionally patronize non-chain restaurants to support small businesses.  In this case, Never. Again.  (The hoagie bun was better than average.)  Wake up or you are going to lose your business.",0,5UmKMjUEUNdYWqANhGckJw,0,1,2016-04-10,review,0
bWrodc7hN_T4q2r-rolrOA,3saY_LVFUpkAfd9t86VNdw,"I like this place a lot. It's a good toasted hoagie.

I actually don't like a my bun exploding with meat, but as a previous poster mentioned if you do maybe you wouldn't like this place.

The inside badly needs updated though. 

The staff is friendly.",0,5UmKMjUEUNdYWqANhGckJw,0,4,2016-05-11,review,0
uK8tzraOp4M5u3uYrqIBXg,Di3exaUCFNw1V4kSNW5pgA,"All the food is great here. But the best thing they have is their wings. Their wings are simply fantastic!!  The ""Wet Cajun"" are by the best & most popular.  I also like the seasoned salt wings.  Wing Night is Monday & Wednesday night, $0.75 whole wings!

The dining area is nice. Very family friendly! The bar is very nice is well.  This place is truly a Yinzer's dream!!  ""Pittsburgh Dad"" would love this place n'at!!",0,UsFtqoBl7naz8AVUBZMjQQ,0,5,2013-11-08,review,0
I_47G-R2_egp7ME5u_ltew,0Lua2-PbqEQMjD9r89-asw,"We checked this place out this past Monday for their wing night. We have heard that their wings are great and decided it was finally time to check it out. Their wings are whole wings and crispy, which is a nice change of pace. I got their wet Cajun sauce and garlic butter wings. The Cajun did not have a bold enough flavor for me and their sauce is too thin. The sauce was also thin for the garlic butter, but that is more expected. They were better than average, but I don't like seeing all the sauce resting at the bottom of the boat. I would definitely come try this place out again to sample some of the other items on the menu, but this will probably not become a regular stop for wings anytime soon.",0,UsFtqoBl7naz8AVUBZMjQQ,0,3,2014-03-29,review,0
PP_xoMSYlGr2pb67BbqBdA,7N9j5YbBHBW6qguE5DAeyA,"Wing sauce is like water. Pretty much a lot of butter and some hot sauce (franks red hot maybe).  The whole wings are good size and crispy, but for $1 a wing the sauce could be better. The hot and extra hot are about the same flavor/heat.  The fish sandwich is good and is a large portion, sides are decent.",0,UsFtqoBl7naz8AVUBZMjQQ,0,1,2014-10-29,review,0
